1,Nguyen Van Tien,a1@student.ctu.edu.vn,########,########,c4ca4238a0b923820dcc509a6f75849b,img1.jpg
2,La Thi Cau,a2@student.ctu.edu.vn,########,########,c4ca4238a0b923820dcc509a6f75849b,img1.jpg
3,Nguyen Chi Chi,a3@student.ctu.edu.vn,########,########,c4ca4238a0b923820dcc509a6f75849b,img1.jpg
4,Tran Thi B,a4@student.ctu.edu.vn,########,########,c4ca4238a0b923820dcc509a6f75849b,img1.jpg
5,Tran Ta Da,a5@student.ctu.edu.vn,########,########,c4ca4238a0b923820dcc509a6f75849b,img1.jpg
6,Tran Thi B,a6@student.ctu.edu.vn,########,########,c4ca4238a0b923820dcc509a6f75849b,img1.jpg
7,Nguyen Van An,a7@student.ctu.edu.vn,########,########,c4ca4238a0b923820dcc509a6f75849b,img1.jpg
8,Tran Thi Be,a8@student.ctu.edu.vn,########,########,c4ca4238a0b923820dcc509a6f75849b,img1.jpg
9,Nguyen Van A,a9@student.ctu.edu.vn,########,########,c4ca4238a0b923820dcc509a6f75849b,img1.jpg
10,Tran Thi Bo,a10@student.ctu.edu.vn,########,########,c4ca4238a0b923820dcc509a6f75849b,img1.jpg
